column,value
6013,2
6005,2
7004,2
5959,2
5814,1
4828,1
4829,1
6799,1
738,1
7295,1
741,1
2790,1
1456,1
2799,1
4845,1
4826,1
752,1
3912,1
2802,1
757,1
758,1
4855,1
4916,1
765,1
731,1
2776,1
4825,1
2764,1
4800,1
706,1
707,1
709,1
711,1
7406,1
4809,1
6858,1
4811,1
717,1
4864,1
718,1
719,1
4816,1
721,1
4818,1
4819,1
724,1
725,1
3562,1
766,1
6782,1
5716,1
1787,1
5747,1
7360,1
4128,1
2631,1
2184,1
814,1
4052,1
31537,1
818,1
820,1
4886,1
31543,1
5803,1
825,1
31546,1
31547,1
5450,1
829,1
6974,1
831,1
31552,1
4896,1
4947,1
2846,1
3203,1
5417,1
2820,1
4812,1
5003,1
775,1
776,1
777,1
778,1
3480,1
4877,1
797,1
7352,1
5881,1
4881,1
5685,1
790,1
6935,1
6937,1
4029,1
5118,1
769,1
700,1
5784,1
4712,1
5744,1
5944,1
2656,1
5804,1
6400,1
7064,1
6757,1
4710,1
2663,1
1474,1
2519,1
6473,1
4717,1
4719,1
2674,1
33395,1
2676,1
2677,1
2680,1
4729,1
2651,1
4697,1
2683,1
4673,1
5794,1
7037,1
3512,1
7310,1
5822,1
4660,1
4661,1
4665,1
4670,1
582,1
6742,1
2196,1
7132,1
5283,1
7306,1
4685,1
4687,1
2640,1
6153,1
595,1
6778,1
3538,1
5428,1
3739,1
1589,1
6822,1
5755,1
3156,1
6827,1
4780,1
2733,1
5404,1
4017,1
4786,1
4769,1
4787,1
1873,1
6837,1
5687,1
6192,1
6045,1
697,1
6196,1
2747,1
3188,1
3961,1
5043,1
653,1
4737,1
6907,1
3549,1
2692,1
4742,1
4309,1
4745,1
7291,1
4974,1
3447,1
6815,1
2703,1
7045,1
6801,1
6802,1
2707,1
6806,1
4044,1
6866,1
6814,1
31553,1
3937,1
31556,1
5098,1
7051,1
7339,1
5088,1
7138,1
3728,1
3802,1
31719,1
3771,1
3876,1
7078,1
5083,1
5101,1
4960,1
31727,1
3056,1
5107,1
31732,1
31733,1
31734,1
7159,1
5084,1
7129,1
31738,1
5067,1
3008,1
5057,1
5520,1
7108,1
3304,1
3397,1
5063,1
4318,1
5066,1
5068,1
4398,1
5069,1
3845,1
4084,1
5072,1
1580,1
7205,1
3028,1
7342,1
7127,1
3591,1
31739,1
5051,1
6776,1
5148,1
7197,1
3102,1
3868,1
31776,1
4268,1
7202,1
3107,1
5841,1
5800,1
31768,1
5159,1
5161,1
31786,1
7104,1
31788,1
2531,1
31790,1
5167,1
31792,1
7213,1
4558,1
7242,1
4026,1
31742,1
7167,1
31744,1
2532,1
31746,1
31747,1
6289,1
31749,1
5521,1
5129,1
7109,1
7178,1
31755,1
1327,1
7181,1
5937,1
31760,1
31761,1
3243,1
5139,1
5055,1
6564,1
3718,1
3604,1
877,1
31598,1
31599,1
31600,1
4977,1
3935,1
2748,1
31605,1
31606,1
888,1
31591,1
4986,1
3892,1
31612,1
2941,1
31614,1
31615,1
4992,1
31617,1
31618,1
4874,1
2918,1
31620,1
1440,1
31559,1
5733,1
4939,1
4488,1
31567,1
6095,1
7402,1
31571,1
2485,1
856,1
3182,1
2906,1
5778,1
860,1
4957,1
3489,1
4959,1
31584,1
6120,1
6402,1
4995,1
2949,1
5048,1
5846,1
5024,1
2523,1
6977,1
6487,1
3637,1
2981,1
5787,1
2984,1
5034,1
2814,1
6116,1
7089,1
7087,1
7088,1
5692,1
4368,1
2996,1
7093,1
7094,1
7095,1
5096,1
7069,1
2950,1
5008,1
31623,1
6087,1
31625,1
7176,1
31627,1
5004,1
31629,1
5006,1
5007,1
7441,1
5020,1
5011,1
5012,1
3390,1
5014,1
5015,1
6290,1
7333,1
7066,1
5019,1
5702,1
2599,1
2600,1
1303,1
5525,1
6321,1
32948,1
5829,1
2096,1
4281,1
4283,1
7145,1
3250,1
6964,1
32964,1
3276,1
4295,1
32969,1
3657,1
3756,1
4300,1
32973,1
5123,1
7283,1
32976,1
5132,1
3077,1
6317,1
1840,1
2186,1
6286,1
2191,1
2192,1
5150,1
2194,1
7401,1
32916,1
3930,1
3441,1
2220,1
3478,1
32922,1
2206,1
2207,1
5292,1
3749,1
32931,1
2217,1
32939,1
7124,1
6235,1
2261,1
6022,1
33021,1
6398,1
33023,1
4352,1
33025,1
4489,1
33027,1
33028,1
5780,1
5854,1
33017,1
7362,1
33036,1
33037,1
33038,1
33039,1
33040,1
4815,1
33043,1
4372,1
5065,1
33015,1
6360,1
7237,1
7232,1
3587,1
6365,1
32990,1
5930,1
7404,1
6506,1
3309,1
4323,1
32999,1
6389,1
33000,1
6377,1
7100,1
33004,1
1641,1
7152,1
33008,1
4339,1
6803,1
2185,1
32904,1
6279,1
32816,1
32805,1
5395,1
2088,1
2089,1
4138,1
2092,1
5809,1
6190,1
6191,1
32817,1
2082,1
32818,1
4147,1
1447,1
1354,1
7364,1
32823,1
2106,1
4156,1
5795,1
32803,1
2081,1
5541,1
3791,1
5224,1
6147,1
