column,value
135168,56
131072,55
132096,53
132608,50
134656,49
133120,49
130048,47
133632,46
134144,44
130560,41
131584,40
135680,39
127488,35
136192,35
136704,33
129024,32
129536,30
128000,29
126976,26
128512,25
126464,22
125440,20
137216,18
124928,16
125952,15
123904,14
139776,10
146432,9
153088,9
151552,8
150016,8
124416,8
123392,8
137728,8
152064,7
154112,7
148480,7
153600,7
147456,7
151040,6
150528,6
138240,6
141312,6
122880,6
140288,6
149504,5
142336,5
147968,5
144384,5
121856,5
121344,5
142848,5
139264,5
154624,5
143360,4
122368,4
120832,4
152576,3
138752,3
148992,3
140800,3
155136,3
144896,3
145408,3
120320,3
119132,2
118460,2
141824,2
133784,2
127440,2
119980,2
126444,2
119296,2
123616,2
116232,2
145920,2
130744,2
124320,2
117760,2
122904,2
126700,2
127592,2
130104,1
127560,1
121424,1
123540,1
121420,1
121604,1
119368,1
119360,1
128904,1
119464,1
126224,1
121440,1
119436,1
125532,1
117896,1
117376,1
119392,1
119400,1
126448,1
117000,1
127596,1
121456,1
137848,1
126996,1
120032,1
123528,1
118832,1
130532,1
119420,1
125700,1
127672,1
129940,1
129036,1
125808,1
125916,1
129912,1
121724,1
126988,1
127832,1
136072,1
125836,1
127892,1
127896,1
117660,1
125864,1
119728,1
125292,1
123836,1
119744,1
129900,1
138084,1
115200,1
129884,1
137928,1
121560,1
123620,1
131832,1
125692,1
141400,1
127752,1
127756,1
121632,1
119600,1
125752,1
124956,1
123652,1
127356,1
123436,1
121688,1
122900,1
126316,1
136276,1
122940,1
123180,1
123796,1
129288,1
117004,1
117008,1
121108,1
117020,1
118668,1
133468,1
123176,1
125232,1
131180,1
119092,1
121148,1
125020,1
137336,1
121160,1
121528,1
139600,1
119128,1
141664,1
119100,1
129248,1
127536,1
123356,1
107744,1
140064,1
120972,1
106652,1
116896,1
127144,1
125100,1
131248,1
125108,1
141496,1
122996,1
125116,1
129144,1
127180,1
115160,1
127196,1
127200,1
127204,1
133624,1
116988,1
129380,1
135532,1
129396,1
117340,1
129504,1
119268,1
119272,1
121332,1
121336,1
129092,1
119120,1
116224,1
118784,1
127496,1
121212,1
129152,1
119308,1
119312,1
123412,1
119320,1
129564,1
137768,1
129800,1
119340,1
129500,1
123352,1
125344,1
121300,1
136620,1
122968,1
126696,1
121232,1
127388,1
119200,1
121252,1
133552,1
123316,1
141752,1
118864,1
118860,1
127048,1
126408,1
131528,1
126388,1
121292,1
129488,1
122676,1
128556,1
131068,1
121800,1
118464,1
118796,1
123292,1
128628,1
116680,1
118408,1
126608,1
123416,1
126624,1
118440,1
129352,1
120520,1
120260,1
132816,1
100052,1
120536,1
122592,1
134884,1
128744,1
118516,1
126940,1
120568,1
108544,1
128608,1
126548,1
128480,1
120348,1
122372,1
142348,1
124400,1
119344,1
128504,1
126460,1
126468,1
124424,1
116236,1
116240,1
120352,1
118352,1
128548,1
125928,1
128552,1
126508,1
131472,1
126532,1
129796,1
114864,1
122440,1
125364,1
120580,1
120588,1
128784,1
127276,1
121296,1
122764,1
118672,1
142296,1
118680,1
118684,1
136596,1
124840,1
137132,1
126900,1
127024,1
122644,1
128964,1
128968,1
124824,1
124460,1
124892,1
124900,1
118760,1
122860,1
141296,1
126964,1
122760,1
114560,1
118652,1
130932,1
118556,1
120892,1
128808,1
120080,1
118580,1
124732,1
126788,1
121008,1
116552,1
130892,1
120532,1
126800,1
124916,1
139092,1
128856,1
139100,1
116576,1
132964,1
135016,1
122736,1
119512,1
126436,1
126832,1
130484,1
128144,1
130148,1
129456,1
119912,1
119916,1
116608,1
140404,1
117884,1
124032,1
137160,1
128136,1
130200,1
130132,1
130212,1
124084,1
130240,1
131044,1
143872,1
146944,1
122412,1
121844,1
120940,1
126176,1
117848,1
131656,1
129960,1
155648,1
121804,1
127956,1
121816,1
119772,1
117732,1
127976,1
127980,1
117748,1
117752,1
125300,1
130056,1
128076,1
122872,1
136208,1
119840,1
130088,1
141976,1
132140,1
127500,1
128056,1
126012,1
128072,1
118388,1
128228,1
120048,1
126380,1
116092,1
126340,1
119808,1
117312,1
120204,1
130008,1
122260,1
114964,1
118172,1
119692,1
126384,1
126208,1
128436,1
131232,1
122928,1
128448,1
124356,1
134600,1
118220,1
126416,1
126424,1
118236,1
115992,1
116088,1
114036,1
107888,1
126212,1
130312,1
127868,1
124176,1
118040,1
120092,1
120096,1
135720,1
120116,1
126428,1
126260,1
120124,1
122176,1
125384,1
129424,1
120132,1
119220,1
120144,1
124412,1
126404,1
116076,1
121868,1
