column,value
134656,56
130560,55
131584,53
132096,50
132608,49
134144,49
129536,47
133120,46
133632,44
130048,41
131072,40
135168,39
135680,35
126976,35
136192,33
128512,32
129024,30
127488,29
126464,26
128000,25
125952,22
124928,20
136704,18
124416,16
123392,15
125440,15
139264,10
145920,9
152576,9
137216,8
149504,8
123904,8
122880,8
151040,8
146944,7
151552,7
153600,7
153088,7
147968,7
140800,6
150016,6
122368,6
137728,6
139776,6
150528,6
154112,5
120832,5
121344,5
141824,5
148992,5
143872,5
142336,5
147456,5
138752,5
121856,4
142848,4
120320,4
144896,3
140288,3
154624,3
119808,3
138240,3
144384,3
148480,3
152064,3
141312,2
118784,2
124302,2
122884,2
119962,2
119112,2
145408,2
127422,2
123596,2
119322,1
121422,1
125818,1
120920,1
119340,1
117294,1
126204,1
114846,1
127812,1
127540,1
129546,1
119382,1
127572,1
119350,1
127518,1
121404,1
119372,1
127874,1
121402,1
119324,1
127878,1
137748,1
121438,1
117640,1
125514,1
117320,1
123416,1
137142,1
124440,1
127578,1
119418,1
123396,1
127738,1
126298,1
131812,1
125674,1
125680,1
129882,1
121586,1
129780,1
127734,1
138066,1
119494,1
121612,1
140046,1
142276,1
119582,1
125732,1
129866,1
121668,1
131026,1
123602,1
125790,1
119672,1
129940,1
137830,1
119400,1
120872,1
117358,1
136054,1
123508,1
120990,1
121706,1
123522,1
121540,1
146432,1
133764,1
133766,1
119444,1
127652,1
127850,1
137910,1
129892,1
119300,1
121280,1
143360,1
127186,1
131230,1
125090,1
141478,1
125098,1
127160,1
128884,1
155136,1
127178,1
129228,1
127182,1
119200,1
127256,1
116968,1
129270,1
135700,1
116984,1
131212,1
116990,1
122908,1
114944,1
121090,1
117002,1
125080,1
127124,1
116876,1
106632,1
122882,1
114688,1
124936,1
131636,1
127004,1
118814,1
122920,1
129072,1
127030,1
118842,1
118846,1
141380,1
122950,1
125002,1
131160,1
121824,1
122978,1
137316,1
129126,1
129132,1
120952,1
123158,1
123162,1
119292,1
129480,1
141732,1
116982,1
118648,1
131508,1
125366,1
107726,1
121274,1
129468,1
120512,1
123334,1
129486,1
125214,1
115142,1
119248,1
119252,1
121312,1
121316,1
133606,1
141958,1
127478,1
119288,1
127482,1
123298,1
125344,1
133532,1
121234,1
119074,1
121128,1
121140,1
129334,1
139580,1
119102,1
119110,1
131452,1
141644,1
129360,1
135514,1
125280,1
129378,1
121192,1
129436,1
121212,1
129406,1
127368,1
123274,1
119180,1
125326,1
125844,1
129018,1
119710,1
120550,1
128610,1
118388,1
126588,1
126606,1
118422,1
130724,1
130726,1
118440,1
118442,1
118444,1
120502,1
132798,1
100032,1
136578,1
120518,1
122572,1
123632,1
134866,1
128724,1
127336,1
126678,1
126680,1
126682,1
128590,1
130466,1
126530,1
124406,1
126428,1
124382,1
123778,1
128484,1
126384,1
124392,1
126442,1
122352,1
126450,1
116212,1
116218,1
118332,1
116220,1
120328,1
120334,1
128530,1
128534,1
126488,1
122394,1
126512,1
122420,1
118776,1
118498,1
120560,1
123818,1
120568,1
114542,1
122740,1
122744,1
118652,1
124804,1
118662,1
118666,1
124822,1
137112,1
126882,1
128946,1
116660,1
128950,1
118272,1
124872,1
124882,1
118740,1
122840,1
141278,1
124896,1
126946,1
122854,1
131048,1
116588,1
118632,1
130914,1
130872,1
128766,1
122624,1
116214,1
118538,1
128788,1
122656,1
118562,1
124714,1
126768,1
116532,1
126920,1
122718,1
126780,1
118370,1
139072,1
128836,1
139080,1
116558,1
132946,1
125274,1
134998,1
126812,1
126426,1
126424,1
126418,1
128460,1
128036,1
130086,1
130514,1
125994,1
128054,1
128058,1
136256,1
123336,1
130114,1
108032,1
117830,1
130130,1
119892,1
119898,1
140386,1
117864,1
124012,1
117876,1
128118,1
128126,1
130182,1
119080,1
130192,1
128536,1
132122,1
130070,1
125908,1
119724,1
121780,1
121784,1
127936,1
121796,1
129990,1
125896,1
119754,1
129776,1
117714,1
127958,1
126978,1
127960,1
117728,1
117734,1
126968,1
130038,1
142328,1
121850,1
136188,1
136600,1
119822,1
121276,1
124064,1
130222,1
126368,1
114016,1
116070,1
116072,1
126322,1
120186,1
122242,1
115712,1
118152,1
126360,1
126366,1
128418,1
116058,1
128428,1
124336,1
126388,1
134582,1
118202,1
126398,1
117248,1
126404,1
118216,1
126410,1
107868,1
127574,1
133448,1
124158,1
120012,1
126158,1
128210,1
120030,1
129922,1
120240,1
126190,1
126192,1
130292,1
120060,1
118020,1
119296,1
115974,1
120072,1
120078,1
121508,1
126240,1
120098,1
120106,1
122156,1
120114,1
120126,1
117740,1
